,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate,benchmark,protocol,cache_size,associativity,line_size
1952,22362569,10394904,11967665,1493736,1009391,2392156,110971,0.04433295,2047902,427203,0.8274,blackscholes,Dragon,2048,2,32
2023,17176725,10394904,6781821,1493736,1009391,2466134,36993,0.01477871,2023315,471694,0.810945,blackscholes,Dragon,4096,2,32
2129,16077540,10394904,5682636,1493736,1009391,2480104,23023,0.009197696,2023894,477743,0.8090278,blackscholes,Dragon,8192,2,32
2230,15998009,10394904,5603105,1493736,1009391,2481270,21857,0.008731878,2020253,481780,0.8074446,blackscholes,Dragon,16384,2,32
2424,14211201,10394904,3816297,1493736,1009391,2499605,3522,0.00140704,1998850,503678,0.7987323,blackscholes,Dragon,65536,2,32
2425,15342987,10394904,4948083,1493736,1009391,2487964,15163,0.006057623,2014034,488091,0.8049294,blackscholes,Dragon,32768,2,32
2892,14036073,10394904,3641169,1493736,1009391,2501640,1487,0.000594057,1794672,708405,0.7169863,blackscholes,Dragon,131072,2,32
3299,14026760,10394904,3631856,1493736,1009391,2501776,1351,0.0005397249,129539,2373587,0.05175089,blackscholes,Dragon,262144,2,32
3994,14026661,10394904,3631757,1493736,1009391,2501777,1350,0.0005393254,35079,2468048,0.01401407,blackscholes,Dragon,524288,2,32
5704,14026661,10394904,3631757,1493736,1009391,2501777,1350,0.0005393254,35079,2468048,0.01401407,blackscholes,Dragon,1048576,2,32
6475,136734870,10394904,126339966,1493736,1009391,1251700,1251427,0.4999455,1998250,37405,0.9816251,blackscholes,Dragon,64,2,32
6482,127177336,10394904,116782432,1493736,1009391,1339716,1163411,0.464783,1974419,84911,0.9587677,blackscholes,Dragon,128,2,32
6493,100372390,10394904,89977486,1493736,1009391,1610828,892299,0.3564737,2035972,90114,0.9576151,blackscholes,Dragon,256,2,32
6510,69540741,10394904,59145837,1493736,1009391,1907581,595546,0.2379208,2098485,180337,0.9208639,blackscholes,Dragon,512,2,32
6533,37769970,10394904,27375066,1493736,1009391,2237732,265395,0.1060254,2094216,323689,0.8661283,blackscholes,Dragon,1024,2,32
