,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate,benchmark,protocol,cache_size,associativity,line_size
22,15066923,10394904,4672019,1493736,1009391,2481219,21908,0.008752253,2026610,475429,0.8099834,blackscholes,MESI,16384,2,32
193,16449755,10394904,6054851,1493736,1009391,2467251,35876,0.01433247,2026222,469962,0.8117278,blackscholes,MESI,4096,2,32
502,15180674,10394904,4785770,1493736,1009391,2480070,23057,0.009211279,2026729,474919,0.8101575,blackscholes,MESI,8192,2,32
637,13252649,10394904,2857745,1493736,1009391,2499545,3582,0.00143101,2027196,475338,0.8100573,blackscholes,MESI,65536,2,32
722,14404712,10394904,4009808,1493736,1009391,2487908,15219,0.006079995,2026892,475238,0.8100666,blackscholes,MESI,32768,2,32
1495,13052273,10394904,2657369,1493736,1009391,2501569,1558,0.0006224215,2027735,475348,0.810095,blackscholes,MESI,131072,2,32
1767,13040195,10394904,2645291,1493736,1009391,2501691,1436,0.0005736824,2027661,475465,0.8100515,blackscholes,MESI,262144,2,32
2638,13040096,10394904,2645192,1493736,1009391,2501692,1435,0.0005732829,2027662,475465,0.8100516,blackscholes,MESI,524288,2,32
3724,13040096,10394904,2645192,1493736,1009391,2501692,1435,0.0005732829,2027662,475465,0.8100516,blackscholes,MESI,1048576,2,32
4569,137905331,10394904,127510427,1493736,1009391,1240427,1262700,0.504449,2018155,6224,0.9969255,blackscholes,MESI,64,2,32
4578,128068196,10394904,117673292,1493736,1009391,1339792,1163335,0.4647527,2043126,16277,0.9920963,blackscholes,MESI,128,2,32
4592,99358790,10394904,88963886,1493736,1009391,1629786,873341,0.3489,2115718,29019,0.9864697,blackscholes,MESI,256,2,32
4613,70086668,10394904,59691764,1493736,1009391,1925464,577663,0.2307765,2152258,144451,0.9371052,blackscholes,MESI,512,2,32
4643,37847813,10394904,27452909,1493736,1009391,2251109,252018,0.1006813,2084287,347048,0.8572603,blackscholes,MESI,1024,2,32
4723,23714375,10394904,13319471,1493736,1009391,2393871,109256,0.04364781,2053570,423354,0.8290807,blackscholes,MESI,2048,2,32
