,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate,benchmark,protocol,cache_size,associativity,line_size
4821,23711801,10394904,13316897,1493736,1009391,2393869,109258,0.0436486,2054394,422521,0.8294164,blackscholes,MOESI,2048,2,32
4918,16447418,10394904,6052514,1493736,1009391,2467250,35877,0.01433287,2026180,469993,0.8117146,blackscholes,MOESI,4096,2,32
4932,15059729,10394904,4664825,1493736,1009391,2481217,21910,0.008753052,2026616,475419,0.8099871,blackscholes,MOESI,16384,2,32
5034,15177017,10394904,4782113,1493736,1009391,2480073,23054,0.00921008,2026754,474891,0.8101685,blackscholes,MOESI,8192,2,32
5175,14395655,10394904,4000751,1493736,1009391,2487907,15220,0.006080395,2026932,475194,0.8100839,blackscholes,MOESI,32768,2,32
5219,13241744,10394904,2846840,1493736,1009391,2499544,3583,0.00143141,2027218,475312,0.8100674,blackscholes,MOESI,65536,2,32
5288,13040276,10394904,2645372,1493736,1009391,2501568,1559,0.000622821,2027779,475301,0.8101135,blackscholes,MOESI,131072,2,32
6145,13027388,10394904,2632484,1493736,1009391,2501688,1439,0.0005748809,2027692,475434,0.8100639,blackscholes,MOESI,262144,2,32
6425,13027037,10394904,2632133,1493736,1009391,2501689,1438,0.0005744814,2027693,475434,0.810064,blackscholes,MOESI,524288,2,32
6818,13027037,10394904,2632133,1493736,1009391,2501689,1438,0.0005744814,2027693,475434,0.810064,blackscholes,MOESI,1048576,2,32
7103,137905331,10394904,127510427,1493736,1009391,1240427,1262700,0.504449,2018231,6148,0.996963,blackscholes,MOESI,64,2,32
7110,128068196,10394904,117673292,1493736,1009391,1339792,1163335,0.4647527,2043121,16282,0.9920938,blackscholes,MOESI,128,2,32
7121,99358706,10394904,88963802,1493736,1009391,1629786,873341,0.3489,2116242,28495,0.986714,blackscholes,MOESI,256,2,32
7137,70085675,10394904,59690771,1493736,1009391,1925463,577664,0.2307769,2153752,142955,0.9377565,blackscholes,MOESI,512,2,32
7159,37846514,10394904,27451610,1493736,1009391,2251106,252021,0.1006825,2084760,346574,0.8574552,blackscholes,MOESI,1024,2,32
