,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate,benchmark,protocol,cache_size,associativity,line_size
1365,36298739,17140113,19158626,2416052,908867,3139593,185326,0.0557385,2310411,988670,0.7003196,bodytrack,Dragon,4096,2,32
1431,32630012,17140113,15489899,2416052,908867,3181591,143328,0.04310722,2274739,1030165,0.688292,bodytrack,Dragon,16384,2,32
1465,33954606,17140113,16814493,2416052,908867,3164939,159980,0.04811546,2306016,997785,0.6979888,bodytrack,Dragon,8192,2,32
1701,30526149,17140113,13386036,2416052,908867,3200508,124411,0.03741775,2246647,1061313,0.6791639,bodytrack,Dragon,32768,2,32
1865,26754185,17140113,9614072,2416052,908867,3239446,85473,0.02570679,2215909,1098575,0.6685532,bodytrack,Dragon,65536,2,32
2352,24013930,17140113,6873817,2416052,908867,3278907,46012,0.01383853,2171118,1147433,0.6542367,bodytrack,Dragon,131072,2,32
2575,22761477,17140113,5621364,2416052,908867,3303046,21873,0.006578506,2152868,1168486,0.6481899,bodytrack,Dragon,262144,2,32
3338,22437260,17140113,5297147,2416052,908867,3310004,14915,0.004485824,2146880,1176342,0.6460236,bodytrack,Dragon,524288,2,32
4459,22320478,17140113,5180365,2416052,908867,3311751,13168,0.003960397,2146857,1177672,0.6457628,bodytrack,Dragon,1048576,2,32
6584,173247965,17140113,156107852,2416052,908867,1782650,1542269,0.4638516,2838689,11230,0.9960595,bodytrack,Dragon,64,2,32
6597,109965255,17140113,92825142,2416052,908867,2414828,910091,0.2737182,2928187,112977,0.9628507,bodytrack,Dragon,128,2,32
6611,85371795,17140113,68231682,2416052,908867,2657168,667751,0.2008323,3017382,101650,0.9674098,bodytrack,Dragon,256,2,32
6629,69534863,17140113,52394750,2416052,908867,2811331,513588,0.1544663,3058733,116761,0.9632306,bodytrack,Dragon,512,2,32
6652,53609983,17140113,36469870,2416052,908867,2972429,352490,0.1060146,2795003,445356,0.8625597,bodytrack,Dragon,1024,2,32
6681,41143121,17140113,24003008,2416052,908867,3087271,237648,0.07147482,2320831,963729,0.7065881,bodytrack,Dragon,2048,2,32
