,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate,benchmark,protocol,cache_size,associativity,line_size
114,170475475,17140113,153335362,2416052,908867,1809662,1515257,0.4557275,2855027,23473,0.9918454,bodytrack,MESI,64,2,32
155,38787655,17140113,21647542,2416052,908867,3139842,185077,0.05566361,2676676,622836,0.8112339,bodytrack,MESI,4096,2,32
190,107047561,17140113,89907448,2416052,908867,2450348,874571,0.2630353,3051049,21874,0.9928817,bodytrack,MESI,128,2,32
295,85081243,17140113,67941130,2416052,908867,2672230,652689,0.1963022,3011151,117545,0.96243,bodytrack,MESI,256,2,32
344,28994179,17140113,11854066,2416052,908867,3238766,86153,0.02591131,2216765,1097836,0.6687879,bodytrack,MESI,65536,2,32
415,70116205,17140113,52976092,2416052,908867,2823392,501527,0.1508389,3050076,136250,0.9572392,bodytrack,MESI,512,2,32
490,36354730,17140113,19214617,2416052,908867,3164417,160502,0.04827245,2863127,440818,0.8665783,bodytrack,MESI,8192,2,32
552,54237298,17140113,37097185,2416052,908867,2983785,341134,0.1025992,2890861,359386,0.8894281,bodytrack,MESI,1024,2,32
692,32831518,17140113,15691405,2416052,908867,3200005,124914,0.03756904,2251842,1056203,0.6807169,bodytrack,MESI,32768,2,32
772,43822399,17140113,26682286,2416052,908867,3088986,235933,0.07095902,3009785,276480,0.915868,bodytrack,MESI,2048,2,32
958,34690738,17140113,17550625,2416052,908867,3181225,143694,0.04321729,2910470,394602,0.8806071,bodytrack,MESI,16384,2,32
1315,25109320,17140113,7969207,2416052,908867,3278007,46912,0.01410922,2179944,1138645,0.6568888,bodytrack,MESI,131072,2,32
1618,22733221,17140113,5593108,2416052,908867,3302008,22911,0.006890694,2167442,1153988,0.6525629,bodytrack,MESI,262144,2,32
2307,22049032,17140113,4908919,2416052,908867,3308919,16000,0.004812147,2164510,1158756,0.6513201,bodytrack,MESI,524288,2,32
3300,21880831,17140113,4740718,2416052,908867,3310618,14301,0.004301157,2163460,1161109,0.650749,bodytrack,MESI,1048576,2,32
