,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate,benchmark,protocol,cache_size,associativity,line_size
3694,43811056,17140113,26670943,2416052,908867,3088975,235944,0.07096233,3004260,282010,0.9141854,bodytrack,MOESI,2048,2,32
3778,38744059,17140113,21603946,2416052,908867,3139786,185133,0.05568045,2578247,721243,0.7814077,bodytrack,MOESI,4096,2,32
3857,36277780,17140113,19137667,2416052,908867,3164507,160412,0.04824539,2873422,430504,0.8696993,bodytrack,MOESI,8192,2,32
4005,34612180,17140113,17472067,2416052,908867,3181215,143704,0.0432203,2804883,500146,0.8486712,bodytrack,MOESI,16384,2,32
4165,25003429,17140113,7863316,2416052,908867,3277876,47043,0.01414862,2183259,1135341,0.6578856,bodytrack,MOESI,131072,2,32
4250,32730730,17140113,15590617,2416052,908867,3200021,124898,0.03756422,2649648,658436,0.8009615,bodytrack,MOESI,32768,2,32
4277,28884943,17140113,11744830,2416052,908867,3238802,86117,0.02590048,2285079,1029555,0.689391,bodytrack,MOESI,65536,2,32
5066,22617112,17140113,5476999,2416052,908867,3301959,22960,0.006905431,2166536,1154883,0.6522923,bodytrack,MOESI,262144,2,32
5877,21927790,17140113,4787677,2416052,908867,3308893,16026,0.004819967,2163806,1159449,0.6511104,bodytrack,MOESI,524288,2,32
6745,21745753,17140113,4605640,2416052,908867,3310596,14323,0.004307774,2163331,1161230,0.6507118,bodytrack,MOESI,1048576,2,32
7022,170475046,17140113,153334933,2416052,908867,1809657,1515262,0.455729,2855014,23483,0.9918419,bodytrack,MOESI,64,2,32
7029,107046232,17140113,89906119,2416052,908867,2450347,874572,0.2630356,3051352,21573,0.9929797,bodytrack,MOESI,128,2,32
7040,85078441,17140113,67938328,2416052,908867,2672232,652687,0.1963016,3009605,119093,0.9619353,bodytrack,MOESI,256,2,32
7056,70110118,17140113,52970005,2416052,908867,2823389,501530,0.1508398,3052294,134031,0.9579356,bodytrack,MOESI,512,2,32
7078,54225157,17140113,37085044,2416052,908867,2983788,341131,0.1025983,2889528,360729,0.8890152,bodytrack,MOESI,1024,2,32
