,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate,benchmark,protocol,cache_size,associativity,line_size
2917,30160167,11301515,18858652,1832174,579291,2244745,166720,0.0691364,1949458,373680,0.8391486,fluidanimate,Dragon,2048,2,32
2984,26868229,11301515,15566714,1832174,579291,2279880,131585,0.05456642,1938343,393051,0.8314094,fluidanimate,Dragon,4096,2,32
2995,22395055,11301515,11093540,1832174,579291,2326342,85123,0.03529929,1869667,486381,0.7935607,fluidanimate,Dragon,16384,2,32
3108,24988159,11301515,13686644,1832174,579291,2300426,111039,0.04604628,1912099,427321,0.8173389,fluidanimate,Dragon,8192,2,32
3151,20645825,11301515,9344310,1832174,579291,2344219,67246,0.02788595,1827083,541594,0.7713517,fluidanimate,Dragon,131072,2,32
3207,21196617,11301515,9895102,1832174,579291,2338742,72723,0.03015719,1835667,527392,0.7768181,fluidanimate,Dragon,32768,2,32
3364,20790260,11301515,9488745,1832174,579291,2342858,68607,0.02845034,1829032,537201,0.7729721,fluidanimate,Dragon,65536,2,32
3895,20515911,11301515,9214396,1832174,579291,2345231,66234,0.02746629,1807291,565453,0.7616882,fluidanimate,Dragon,262144,2,32
4674,20287031,11301515,8985516,1832174,579291,2347197,64268,0.02665102,1765210,614404,0.7418052,fluidanimate,Dragon,524288,2,32
6244,19998067,11301515,8696552,1832174,579291,2349489,61976,0.02570056,1006352,1385062,0.4208188,fluidanimate,Dragon,1048576,2,32
6936,123357701,11301515,112056186,1832174,579291,1281787,1129678,0.4684613,2064691,56700,0.9732723,fluidanimate,Dragon,64,2,32
6943,99405939,11301515,88104424,1832174,579291,1499623,911842,0.3781278,2071771,104942,0.9517888,fluidanimate,Dragon,128,2,32
6954,66532734,11301515,55231219,1832174,579291,1833840,577625,0.2395328,1999829,237765,0.8937408,fluidanimate,Dragon,256,2,32
6971,50169674,11301515,38868159,1832174,579291,2011905,399560,0.1656918,1970089,304222,0.8662355,fluidanimate,Dragon,512,2,32
6993,36277200,11301515,24975685,1832174,579291,2177680,233785,0.09694729,1935406,372735,0.8385129,fluidanimate,Dragon,1024,2,32
