,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate,benchmark,protocol,cache_size,associativity,line_size
233,26747617,11301515,15446102,1832174,579291,2279802,131663,0.05459876,1940941,390407,0.8325402,fluidanimate,MESI,4096,2,32
529,24718909,11301515,13417394,1832174,579291,2300294,111171,0.04610102,1922525,416926,0.8217847,fluidanimate,MESI,8192,2,32
924,22177282,11301515,10875767,1832174,579291,2325967,85498,0.0354548,1891079,465084,0.8026096,fluidanimate,MESI,16384,2,32
1156,20974828,11301515,9673313,1832174,579291,2338113,73352,0.03041802,1880131,482773,0.7956866,fluidanimate,MESI,32768,2,32
1183,20590609,11301515,9289094,1832174,579291,2341994,69471,0.02880863,1876407,488816,0.793332,fluidanimate,MESI,65536,2,32
1859,20470918,11301515,9169403,1832174,579291,2343203,68262,0.02830727,1876044,491304,0.7924665,fluidanimate,MESI,131072,2,32
2075,20380729,11301515,9079214,1832174,579291,2344114,67351,0.0279295,1878212,492931,0.7921125,fluidanimate,MESI,262144,2,32
2808,20199064,11301515,8897549,1832174,579291,2345949,65516,0.02716855,1885051,493547,0.7925051,fluidanimate,MESI,524288,2,32
4129,19983343,11301515,8681828,1832174,579291,2348128,63337,0.02626495,1892398,498657,0.791449,fluidanimate,MESI,1048576,2,32
6202,125521105,11301515,114219590,1832174,579291,1282090,1129375,0.4683356,2081195,40965,0.9806966,fluidanimate,MESI,64,2,32
6212,104052460,11301515,92750945,1832174,579291,1498945,912520,0.378409,2079390,97146,0.9553667,fluidanimate,MESI,128,2,32
6230,70281778,11301515,58980263,1832174,579291,1840063,571402,0.2369522,2010891,231522,0.8967532,fluidanimate,MESI,256,2,32
6274,52945393,11301515,41643878,1832174,579291,2015178,396287,0.1643345,1975071,302319,0.867252,fluidanimate,MESI,512,2,32
6323,36811957,11301515,25510442,1832174,579291,2178142,233323,0.09675571,1940221,368334,0.8404482,fluidanimate,MESI,1024,2,32
6369,30215884,11301515,18914369,1832174,579291,2244769,166696,0.06912644,1945256,377958,0.8373124,fluidanimate,MESI,2048,2,32
